CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Peel River,CM-40,CM,Current,6.560031888,0.403296398
Lower Liard,CM-39,CM,VREQ[Current],17.99624202,0.220379793
Bella Coola-Dean Rivers,CM-16,CM,Current,17.78929617,2.442219376
Bute Inlet,CM-7,CM,Current,10.55689908,1.132327814
Douglas-Gardner,CM-20,CM,Current,23.74448106,1.857689665
Georgia Strait,CM-4,CM,Current,65.39111843,2.530037649
Hecate Lowlands,CM-18,CM,Current,85.62536875,1.058130618
Howe Sound-Burrard Inlet,CM-3,CM,Current,13.42049247,0.7094685
Loughborough,CM-6,CM,Current,21.90518468,0.495603026
Lower Fraser,CM-2,CM,Current,13.99881668,1.791203563
Lower Nass,CM-31,CM,Current,5.382951083,0.469194609
Lower Skeena,CM-27,CM,Current,12.65796215,1.941661316
Lower Stikine,CM-34,CM,Current,15.43699311,3.412755466
Middle Skeena,CM-28,CM,Current,24.34428756,3.894861981
Mussel-Kynoch,CM-19,CM,Current,6.201652962,0.191969594
Northeast Vancouver Island,CM-5,CM,Current,15.89385688,0.86127872
Northwest Vancouver Island,CM-11,CM,Current,15.00491616,0.364828804
Portland Inlet,CM-30,CM,Current,11.28739548,0.333515422
Rivers Inlet,CM-13,CM,Current,8.390154503,0.709418659
Skeena Estuary,CM-26,CM,Current,33.71998581,0.279772204
Skidegate,CM-22,CM,Current,5.884798848,0.063841833
Smith Inlet,CM-12,CM,Current,12.109081,0.277583206
Southern Coastal Streams,CM-8,CM,Current,40.10676167,0.860084803
Southwest Vancouver Island,CM-10,CM,Current,55.39202803,1.768020995
Spiller-Fitz Hugh-Burke,CM-15,CM,Current,47.62590825,0.76909868
Unuk,CM-33,CM,Current,3.837345305,0.259843721
Upper Knight,CM-9,CM,Current,10.49153241,0.99145261
Whiting,CM-35,CM,Current,2.897387287,0.267128092
Wannock,CM-14,CM,Current,0.323908074,0.0045636
Portland Canal-Observatory,CM-32,CM,Current,10.32441972,0.616016806
Bella Coola River-Late,CM-17,CM,Current,2.527133598,0.034436668
Stewart<<vreq[current]>>,CM-48,CM,VREQ[Current],30.85114353,9.258825624
Porcupine River,CM-46,CM,Current,18.74299728,10.04270395
Donjek-Kluane,CM-45,CM,Current,9.618497699,2.131341641
White River,CM-44,CM,Current,19.72220536,4.509536661
North Yukon River,CM-43,CM,Current,16.73666684,5.543139246
Middle Yukon River,CM-42,CM,Current,26.09149797,5.474464854
Teslin,CM-38,CM,Current,27.63751138,8.624696779
North Haida Gwaii,CM-24,CM,Current,13.74218404,0.490345786
North Haida Gwaii-Stanley Creek,CM-25,CM,Current,0.341505678,0.002926049
East HG,CM-21,CM,Current,25.45107024,0.402046042
West Haida Gwaii,CM-23,CM,Current,30.84908443,0.398070149
Lynn Canal,CM-37,CM,Current,3.891652581,0.25066092
Taku,CM-36,CM,Current,12.50162684,2.591111961
