,FULL_CU_IN,LAT_C,LONG_C,CU_NAME,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area,species
1,CK-1,49.07597717,-119.517786,Okanagan_1.x,CK,Current,2.253545942,0.132726322,Chinook
2,CK-10,52.75416228,-122.7561901,Middle Fraser River_SP_1.3,CK,Current,61.48703906,6.364585398,Chinook
3,CK-11,53.34174382,-123.6074699,Middle Fraser River_SU_1.3,CK,Current,46.27387457,3.030057171,Chinook
4,CK-12,53.66867283,-120.9027786,Upper Fraser River_SP_1.3,CK,Current,24.15536155,3.325552502,Chinook
5,CK-13,50.7847754,-120.0040059,South Thompson_SU_0.3,CK,Current,15.22878715,1.336206491,Chinook
6,CK-14,50.9268677,-119.1961108,South Thompson_SU_1.3,CK,Current,10.59422351,0.497296632,Chinook
7,CK-15,50.65251541,-118.8652571,Shuswap River_SU_0.3,CK,Current,7.924766772,0.122341703,Chinook
8,CK-16,50.25079253,-118.9327711,South Thompson-Bessette Creek_SU_1.2,CK,Current,2.099760451,0.100278753,Chinook
9,CK-17,50.41208646,-120.8867752,Lower Thompson_SP_1.2,CK,Current,14.72275281,1.566142559,Chinook
10,CK-18,51.84320992,-119.5611019,North Thompson_SP_1.3,CK,Current,7.497857518,0.539073708,Chinook
11,CK-19,51.43251857,-120.1549997,North Thompson_SU_1.3,CK,Current,10.69425015,0.796638987,Chinook
12,CK-2,49.05136743,-122.8326615,Boundary Bay_FA_0.3,CK,VREQ[Current],1.283726265,0.050967211,Chinook
13,CK-20,49.83299964,-123.5906272,Southern Mainland-Georgia Strait_FA_0.x,CK,Current,38.96704747,1.96506346,Chinook
14,CK-21,48.52214391,-123.5063462,East Vancouver Island-Goldstream_FA_0.x,CK,Current,5.886632786,0.065352501,Chinook
15,CK-22,48.80358962,-123.9628081,East Vancouver Island-Cowichan & Koksilah_FA_0.x,CK,Current,10.12546015,0.203175534,Chinook
16,CK-23,49.09187318,-124.2284975,East Vancouver Island-Nanaimo_SP_1.x,CK,Current,1.809410236,0.080357911,Chinook
17,CK-25,49.10409132,-123.9053396,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,CK,Current,6.832022391,0.138926735,Chinook
18,CK-27,49.63028686,-124.8500592,East Vancouver Island-Qualicum & Puntledge_FA_0.x,CK,Current,7.534171246,0.310174921,Chinook
19,CK-28,50.77612664,-125.7786141,Southern Mainland-Southern Fjords_FA_0.x,CK,Current,67.34294252,1.946665123,Chinook
20,CK-29,50.37681552,-126.1868278,East Vancouver Island-North_FA_0.x,CK,Current,19.6297133,1.111592429,Chinook
21,CK-3,49.22891514,-121.946601,Lower Fraser River_FA_0.3,CK,Current,3.894866792,0.088713509,Chinook
22,CK-31,49.02217615,-125.1410264,West Vancouver Island-South_FA_0.x,CK,Current,32.51326428,1.179237665,Chinook
