CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Whiting,CK-62,CK,Current,2.78874937043,0.26017264019
Stikine-Late Timing,CK-61,CK,Current,9.90356127771,1.42213838596
Stikine-Early Timing,CK-60,CK,Current,10.52436952040,1.99079777419
Unuk,CK-59,CK,Current,3.21170276059,0.23071338192
West Vancouver Island-South_FA_0.x,CK-31,CK,Current,32.51326427930,1.17923766477
East Vancouver Island-North_FA_0.x,CK-29,CK,Current,19.62971330190,1.11159242910
East Vancouver Island-Nanaimo & Chemainus_FA_0.x,CK-25,CK,Current,6.83202239147,0.13892673524
East Vancouver Island-Qualicum & Puntledge_FA_0.x,CK-27,CK,Current,7.53417124550,0.31017492135
East Vancouver Island-Cowichan & Koksilah_FA_0.x,CK-22,CK,Current,10.12546014500,0.20317553411
East Vancouver Island-Goldstream_FA_0.x,CK-21,CK,Current,5.88663278594,0.06535250061
South-Miscellaneous<<Bin>>,CK-9005,CK,Bin,0.74953165269,0.01344398979
West Vancouver Island-North_FA_0.x,CK-33,CK,Current,14.94910349990,0.39170799848
West Vancouver Island-Nootka & Kyuquot_FA_0.x,CK-32,CK,Current,27.09843390970,0.66174950001
Yukon River-Teslin Headwaters,CK-68,CK,Current,25.87330139450,5.76120608287
Big Salmon,CK-70,CK,Current,6.40875683445,1.15253416366
Nordenskiold,CK-71,CK,Current,7.87901749928,1.09700458373
Pelly,CK-72,CK,Current,28.95679984910,8.75731772537
Middle Yukon River and Tributaries,CK-73,CK,Current,20.68850130720,3.22492610700
Stewart,CK-74,CK,Current,30.85114352620,9.25882562447
White and Tributaries,CK-75,CK,Current,19.03640343680,6.64085872296
Northern Yukon River and Tributaries,CK-76,CK,Current,16.73667082430,5.54312055476
Porcupine,CK-78,CK,Current,20.82808585470,9.25264723040
Old Crow,CK-79,CK,Current,9.82924036362,2.62386589193
Salmon Fork,CK-77,CK,Current,6.03365057263,0.79005671562
Upper Nass,CK-58,CK,Current,16.39370075560,2.74741194678
Portland Sound-Observatory Inlet-Lower Nass,CK-57,CK,Current,19.46888570040,1.20286382000
Kalum-Early Timing,CK-49,CK,Current,3.92779886559,0.21432446864
Kalum-Late Timing,CK-50,CK,Current,2.37511504570,0.10556452880
Lower Skeena,CK-48,CK,Current,9.32154260163,0.90098367954
Lakelse,CK-51,CK,Current,2.15682957525,0.08058246528
Zymoetz,CK-80,CK,Current,6.23019492243,0.41982741504
Ecstall,CK-46,CK,Current,2.79977939233,0.20331557318
Skeena Estuary,CK-45,CK,Current,26.80431547420,0.23091235675
Middle Skeena-Mainstem Tributaries,CK-54,CK,Current,16.13083103130,1.79439543187
Upper Bulkley River,CK-55,CK,Current,4.48799529112,0.32012930876
Sicintine,CK-81,CK,Current,2.29779198286,0.11730447286
Upper Skeena,CK-56,CK,Current,11.78623072590,1.27087012403
Middle Skeena-Large Lakes,CK-53,CK,Current,23.42300025610,2.24744023089
Wannock,CK-38,CK,Current,0.32390807376,0.00456359960
Rivers Inlet,CK-37,CK,Current,16.90203250710,0.96509123844
Bella Coola-Bentinck,CK-39,CK,Current,10.02848281820,1.10133434081
Dean River,CK-40,CK,Current,10.09815473340,1.03960626656
Docee,CK-36,CK,Current,0.02903879320,0.00001574840
Boundary Bay_FA_0.3,CK-2,CK,VREQ[Current],1.28372626522,0.05096721104
Fraser-Harrison Fall Transplant_FA_0.3<<Bin>>,CK-9008,CK,Bin,2.56833983298,0.10143151035
Lower Fraser River-Upper Pitt_SU_1.3,CK-5,CK,Current,2.30873011686,0.05349161011
Lower Fraser River_FA_0.3,CK-3,CK,Current,3.89486679209,0.08871350921
Lower Fraser River_SP_1.3,CK-4,CK,Current,4.50750528524,0.25964178573
Lower Fraser River_SU_1.3,CK-6,CK,Current,11.40279870300,0.74172159602
