SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
CK,Whiting,Current,CK-62,2.78874937043,0.26017264019
CK,Stikine-Late Timing,Current,CK-61,9.90356127771,1.42213838596
CK,Stikine-Early Timing,Current,CK-60,10.52436952040,1.99079777419
CK,Unuk,Current,CK-59,3.21170276058,0.23071338192
CK,West Vancouver Island-South_FA_0.x,Current,CK-31,32.51326427930,1.17923766477
CK,East Vancouver Island-North_FA_0.x,Current,CK-29,19.62971330190,1.11159242910
CK,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,Current,CK-25,6.83202239147,0.13892673524
CK,East Vancouver Island-Qualicum & Puntledge_FA_0.x,Current,CK-27,7.53417124550,0.31017492135
CK,East Vancouver Island-Cowichan & Koksilah_FA_0.x,Current,CK-22,10.12546014500,0.20317553411
CK,East Vancouver Island-Goldstream_FA_0.x,Current,CK-21,5.88663278593,0.06535250061
CK,South-Miscellaneous<<Bin>>,Bin,CK-9005,0.74953165268,0.01344398979
CK,West Vancouver Island-North_FA_0.x,Current,CK-33,14.94910349990,0.39170799848
CK,West Vancouver Island-Nootka & Kyuquot_FA_0.x,Current,CK-32,27.09843390970,0.66174950001
CK,Yukon River-Teslin Headwaters,Current,CK-68,25.87330139450,5.76120608287
CK,Big Salmon,Current,CK-70,6.41752605403,1.15259050635
CK,Pelly,Current,CK-72,28.95679984910,8.75731772537
CK,Middle Yukon River and Tributaries,Current,CK-73,20.73009726460,3.22479731329
CK,Stewart,Current,CK-74,30.85114352620,9.25882562447
CK,White and Tributaries,Current,CK-75,19.03640343680,6.64085872296
CK,Northern Yukon River and Tributaries,Current,CK-76,16.73667082430,5.54312055476
CK,Porcupine,Current,CK-78,20.82808585470,9.25264723040
CK,Old Crow,Current,CK-79,9.82924036362,2.62386589193
CK,Salmon Fork,Current,CK-77,6.03365057263,0.79005671562
CK,Upper Nass,Current,CK-58,16.39370075560,2.74741194678
CK,Portland Sound-Observatory Inlet-Lower Nass,Current,CK-57,19.46888570040,1.20286382000
CK,Kalum-Early Timing,Current,CK-49,3.92779886559,0.21432446864
CK,Kalum-Late Timing,Current,CK-50,2.37511504570,0.10556452880
CK,Lower Skeena,Current,CK-48,9.32154260163,0.90098367954
CK,Lakelse,Current,CK-51,2.15682957525,0.08058246528
CK,Zymoetz,Current,CK-80,6.23019492243,0.41982741504
CK,Ecstall,Current,CK-46,2.79977939233,0.20331557318
CK,Skeena Estuary,Current,CK-45,26.80431547420,0.23091235675
CK,Middle Skeena-Mainstem Tributaries,Current,CK-54,16.13083103130,1.79439543187
CK,Upper Bulkley River,Current,CK-55,4.48799529112,0.32012930876
CK,Sicintine,Current,CK-81,2.29779198286,0.11730447286
CK,Upper Skeena,Current,CK-56,11.78623072590,1.27087012403
CK,Middle Skeena-Large Lakes,Current,CK-53,23.42300025610,2.24744023089
CK,Wannock,Current,CK-38,0.32390807376,0.00456359960
CK,Rivers Inlet,Current,CK-37,16.90203250710,0.96509123844
CK,Bella Coola-Bentinck,Current,CK-39,10.02848281820,1.10133434081
CK,Dean River,Current,CK-40,10.09815473340,1.03960626656
CK,Docee,Current,CK-36,0.02903879320,0.00001574840
CK,Boundary Bay_FA_0.3,VREQ[Current],CK-2,1.28372626522,0.05096721104
CK,Fraser-Harrison Fall Transplant_FA_0.3<<Bin>>,Bin,CK-9008,2.56833983298,0.10143151035
CK,Lower Fraser River-Upper Pitt_SU_1.3,Current,CK-5,3.83852363765,0.15117601179
CK,Lower Fraser River_FA_0.3,Current,CK-3,3.89486679209,0.08871350921
CK,Lower Fraser River_SP_1.3,Current,CK-4,4.50750528524,0.25964178573
CK,Lower Fraser River_SU_1.3,Current,CK-6,11.40279870300,0.74172159602
CK,Lower Thompson_SP_1.2,Current,CK-17,14.72275281160,1.56614255862
CK,Maria Slough_SU_0.3,VREQ[Current],CK-7,0.42663596578,0.00656709609
CK,Middle Fraser-Fraser Canyon_SP_1.3,Current,CK-8,3.98794671973,0.21473254990
CK,Middle Fraser River-Portage_FA_1.3,Current,CK-9,2.42586802975,0.12258111108
CK,Middle Fraser River_SP_1.3,Current,CK-10,61.48703905770,6.36458539789
CK,Middle Fraser River_SU_1.3,Current,CK-11,46.27387457390,3.03005717128
CK,North Thompson_SP_1.3,Current,CK-18,7.49785751838,0.53907370751
CK,North Thompson_SU_1.3,Current,CK-19,10.69425014620,0.79663898680
CK,Okanagan_1.x,Current,CK-1,2.25354594194,0.13272632228
CK,Shuswap River_SU_0.3,Current,CK-15,7.92476677160,0.12234170349
CK,South Thompson-Bessette Creek_SU_1.2,Current,CK-16,2.09976045071,0.10027875269
CK,South Thompson_SU_0.3,Current,CK-13,15.22878715250,1.33620649124
CK,South Thompson_SU_1.3,Current,CK-14,10.59422350920,0.49729663225
CK,Upper Adams River_SU_x.x,Current,CK-82,4.03268750758,0.19779565530
CK,Upper Fraser River_SP_1.3,Current,CK-12,24.15536154820,3.32555250169
CK,North & Central Coast-Late Timing,Current,CK-41,127.01632056800,2.05290347948
CK,Southern Mainland-Georgia Strait_FA_0.x,Current,CK-20,38.96704747180,1.96506346003
CK,Southern Mainland-Southern Fjords_FA_0.x,Current,CK-28,67.34294251560,1.94666512325
CK,Homathko_SU_x.x,Current,CK-34,5.84120449162,0.74688316247
CK,Klinaklini_SU_1.3,Current,CK-35,6.73248151108,0.76446513684
CK,Upper Yukon River,Current,CK-69,20.30989933730,5.18966268132
CK,Lynn Canal,Current,CK-66,4.08111732681,0.26613049699
CK,Taku-Mid Timing,Current,CK-64,7.04671207788,0.61135513779
CK,North & Central Coast-Early Timing,Current,CK-42,52.55810877650,2.21090330082
CK,Taku-Early Timing,Current,CK-63,6.30039199799,0.60416345003
CK,Taku-Late Timing,Current,CK-65,10.50639912530,1.34511499241
CK,Alsek,Current,CK-67,8.37114990153,1.11578527317
CK,Haida Gwaii-East,Current,CK-44,28.40447682310,0.45306927626
CK,Haida Gwaii-North,Current,CK-43,13.43041590140,0.49327183447
CK,East Vancouver Island-Georgia Strait_SU_0.3,Current,CK-83,3.50014604170,0.14040163165
CK,East Vancouver Island-Nanaimo_SP_1.x,Current,CK-23,1.80941023607,0.08035791075
CK,Nordenskiold,Current,CK-71,7.91184423728,1.09707703476
