NOM_SITE,NOM_GAZ,ID_CARAC_G,Y_LAT,X_LONG,TYPE_DE_CA,CDE_BA_20K,CDE_BA_50K,NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ID_POP,ACRO_ZAEA,ACRO_ZAM,ACRO_ZAJ
NAVER CREEK,NAVER CREEK,145,53.43100793960,-122.65883231700,Stream,100-520500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-522900-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47307,MFR,GStr,MFR+GStr
NAZKO RIVER,NAZKO RIVER,2456,53.12683552900,-123.56686139700,Stream,100-500560-326229-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,170-324300-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,44762,MFR,GStr,MFR+GStr
SHOVEL CREEK,SHOVEL CREEK,300,54.13896930260,-125.29028445000,Stream,100-567134-374775-948201-023010-367618-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-01900-4090-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,45520,MFR,GStr,MFR+GStr
STEIN RIVER,STEIN RIVER,126,50.28839910520,-121.62927804400,Stream,100-195373-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-197200-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47175,MFR,GStr,MFR+GStr
SWIFT RIVER,SWIFT RIVER,142,53.01562102570,-122.11554483500,Stream,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47277,MFR,GStr,MFR+GStr
SWIFT RIVER,SWIFT RIVER,142,53.01562102570,-122.11554483500,Stream,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,2483,MFR,GStr,MFR+GStr
SWIFT RIVER,SWIFT RIVER,142,53.01562102570,-122.11554483500,Stream,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47278,MFR,GStr,MFR+GStr
TASEKO LAKES,TASEKO LAKES,287,51.34893022920,-123.61908698300,Lake,100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-13400-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,46861,MFR,GStr,MFR+GStr
OKANAGAN RIVER,OKANAGAN RIVER,442,49.07597716670,-119.51778600700,Stream,300-432687-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,310-000000-00000-00000-0000-0000-000-000-000-000-000-000,OKANAGAN_1.x,CK-1,CK,Current,48442,OK,ORWA,OK+ORWA
CAMPBELL RIVER,CAMPBELL RIVER,677,49.01265739320,-122.77798203900,Stream,900-000584-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-000500-00000-00000-0000-0000-000-000-000-000-000-000,BOUNDARY BAY_FA_0.3,CK-2,CK,VREQ[Current],586,BB,GStr,BB+GStr
