CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,WSP_STATUS,CU_LAT,CU_LONG
West Vancouver Island-South_FA_0.x,CK-31,CK,Current,RED,48.94334657080,-124.64534252700
East Vancouver Island-North_FA_0.x,CK-29,CK,Current,RED,50.18336664750,-126.28753329100
East Vancouver Island-Nanaimo & Chemainus_FA_0.x,CK-25,CK,Current,TBD,48.97946954890,-123.94888395700
East Vancouver Island-Qualicum & Puntledge_FA_0.x,CK-27,CK,Current,TBD,49.44159972450,-124.89268811700
East Vancouver Island-Cowichan & Koksilah_FA_0.x,CK-22,CK,Current,TBD,48.71098038170,-123.79674166600
East Vancouver Island-Goldstream_FA_0.x,CK-21,CK,Current,TBD,48.50552869120,-123.47508395800
West Vancouver Island-North_FA_0.x,CK-33,CK,Current,TBD,50.48576929840,-127.47247889900
West Vancouver Island-Nootka & Kyuquot_FA_0.x,CK-32,CK,Current,RED,49.80423358190,-126.22529485200
Boundary Bay_FA_0.3,CK-2,CK,VREQ[Current],TBD,49.10556732730,-122.71908139100
Fraser-Harrison Fall Transplant_FA_0.3<<Bin>>,CK-9008,CK,Bin,TBD,49.06245292410,-121.64667782200
Lower Fraser River-Upper Pitt_SU_1.3,CK-5,CK,Current,DD,49.65244247250,-122.65689725000
Lower Fraser River_FA_0.3,CK-3,CK,Current,GREEN,49.46699148670,-121.88430028200
Lower Fraser River_SP_1.3,CK-4,CK,Current,TBD,50.33647285500,-123.06391355300
Lower Fraser River_SU_1.3,CK-6,CK,Current,DD,50.08597779800,-122.45976441300
Lower Thompson_SP_1.2,CK-17,CK,Current,RED,50.50233410110,-121.08846781100
Maria Slough_SU_0.3,CK-7,CK,VREQ[Current],TBD,49.28360580850,-121.71266752300
Middle Fraser-Fraser Canyon_SP_1.3,CK-8,CK,Current,DD,49.96498233740,-121.92527027500
Middle Fraser River-Portage_FA_1.3,CK-9,CK,Current,RED,50.61684093930,-122.37392540900
Middle Fraser River_SP_1.3,CK-10,CK,Current,RED,52.66346838050,-123.87087230700
Middle Fraser River_SU_1.3,CK-11,CK,Current,AMBER,54.18903998470,-124.44113953600
North Thompson_SP_1.3,CK-18,CK,Current,RED,52.03697066990,-119.29451412400
North Thompson_SU_1.3,CK-19,CK,Current,RED,51.27907874250,-120.04251955000
Okanagan_1.x,CK-1,CK,Current,RED,49.15180162410,-119.47195307600
Shuswap River_SU_0.3,CK-15,CK,Current,TBD,50.57698373190,-118.85496089300
South Thompson-Bessette Creek_SU_1.2,CK-16,CK,Current,RED,50.18068238120,-118.90699592900
South Thompson_SU_0.3,CK-13,CK,Current,GREEN,50.80003566470,-119.55440120700
South Thompson_SU_1.3,CK-14,CK,Current,RED/AMBER,50.53624298470,-119.48934429900
Upper Adams River_SU_x.x,CK-82,CK,Current,DD,51.70041017430,-119.11432232000
Upper Fraser River_SP_1.3,CK-12,CK,Current,RED,53.64049543780,-121.28075727700
Southern Mainland-Georgia Strait_FA_0.x,CK-20,CK,Current,DD,50.38447359950,-123.88628411500
Southern Mainland-Southern Fjords_FA_0.x,CK-28,CK,Current,DD,51.03999999990,-125.99998360400
Homathko_SU_x.x,CK-34,CK,Current,DD,51.40984221400,-124.82622149100
Klinaklini_SU_1.3,CK-35,CK,Current,DD,51.67959878450,-125.44192729300
East Vancouver Island-Georgia Strait_SU_0.3,CK-83,CK,Current,TBD,49.56226659660,-125.20112173300
East Vancouver Island-Nanaimo_SP_1.x,CK-23,CK,Current,DD,49.06272826630,-124.24370425200
