SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
CM,Peel River,Current,CM-40,6.56003188817,0.40329639820
CM,Lower Liard,VREQ[Current],CM-39,17.99624201710,0.22037979250
CM,Bella Coola-Dean Rivers,Current,CM-16,17.78929617140,2.44221937629
CM,Bute Inlet,Current,CM-7,10.55689907950,1.13232781446
CM,Douglas-Gardner,Current,CM-20,23.74448106170,1.85768966468
CM,Georgia Strait,Current,CM-4,65.39111842950,2.53003764904
CM,Hecate Lowlands,Current,CM-18,85.62536875430,1.05813061811
CM,Howe Sound-Burrard Inlet,Current,CM-3,13.42049247290,0.70946849993
CM,Loughborough,Current,CM-6,21.90518467690,0.49560302583
CM,Lower Fraser,Current,CM-2,13.99881667870,1.79120356287
CM,Lower Nass,Current,CM-31,5.38295108272,0.46919460916
CM,Lower Skeena,Current,CM-27,12.65796214500,1.94166131629
CM,Lower Stikine,Current,CM-34,15.43699311310,3.41275546605
CM,Middle Skeena,Current,CM-28,24.34428755940,3.89486198149
CM,Mussel-Kynoch,Current,CM-19,6.20165296217,0.19196959430
CM,Northeast Vancouver Island,Current,CM-5,15.89385688470,0.86127872013
CM,Northwest Vancouver Island,Current,CM-11,15.00491616190,0.36482880446
CM,Portland Inlet,Current,CM-30,11.28739547760,0.33351542151
CM,Rivers Inlet,Current,CM-13,8.39015450315,0.70941865890
CM,Skeena Estuary,Current,CM-26,33.71998580550,0.27977220418
CM,Skidegate,Current,CM-22,5.88479884796,0.06384183304
CM,Smith Inlet,Current,CM-12,12.10908099780,0.27758320642
CM,Southern Coastal Streams,Current,CM-8,40.10676166580,0.86008480300
CM,Southwest Vancouver Island,Current,CM-10,55.39202803180,1.76802099452
CM,Spiller-Fitz Hugh-Burke,Current,CM-15,47.62590824990,0.76909867982
CM,Unuk,Current,CM-33,3.83734530543,0.25984372082
CM,Upper Knight,Current,CM-9,10.49153240630,0.99145260991
CM,Whiting,Current,CM-35,2.89738728722,0.26712809240
CM,Wannock,Current,CM-14,0.32390807376,0.00456359960
CM,Portland Canal-Observatory,Current,CM-32,10.32441972140,0.61601680604
CM,Bella Coola River-Late,Current,CM-17,2.52713359788,0.03443666760
CM,Stewart<<vreq[current]>>,VREQ[Current],CM-48,30.85114352620,9.25882562447
CM,Porcupine River,Current,CM-46,18.74299727760,10.04270394590
CM,Donjek-Kluane,Current,CM-45,9.61849769859,2.13134164067
CM,White River,Current,CM-44,19.72220535830,4.50953666133
CM,North Yukon River,Current,CM-43,16.73666683680,5.54313924584
CM,Middle Yukon River,Current,CM-42,26.09149796600,5.47446485440
CM,Teslin,Current,CM-38,27.63751137630,8.62469677904
CM,North Haida Gwaii,Current,CM-24,13.74218404180,0.49034578571
CM,North Haida Gwaii-Stanley Creek,Current,CM-25,0.34150567773,0.00292604876
CM,East HG,Current,CM-21,25.45107023800,0.40204604204
CM,West Haida Gwaii,Current,CM-23,30.84908443070,0.39807014900
CM,Lynn Canal,Current,CM-37,3.89165258097,0.25066092031
CM,Taku,Current,CM-36,12.50162683740,2.59111196073
