SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
ALOUETTE RIVER,ALOUETTE RIVER,14,49.26454304180,-122.70883654900,Stream,100-025956-057184-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47925,LFR,GStr,LFR+GStr
ATCHELITZ CREEK,ATCHELITZ CREEK,90,49.15775503720,-121.99237179300,Stream,100-070889-129960-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-071800-16300-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47077,LFR,GStr,LFR+GStr
BARNES CREEK,BARNES CREEK,59,49.19794854960,-122.04981124200,Stream,100-070930-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-072400-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,7473,LFR,GStr,LFR+GStr
BARRETT CREEK,,68,49.09776227090,-122.03079987500,Stream,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47013,LFR,GStr,LFR+GStr
BELCHARTON CREEK,BELCHARTON CREEK,47,49.21560587430,-122.25164285500,Stream,100-057528-869526-256636-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-84700-23400-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48043,LFR,GStr,LFR+GStr
BIG SILVER CREEK,BIG SILVER CREEK,192,49.57910897250,-121.83664117900,Stream,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-599000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46075,LFR,GStr,LFR+GStr
BLANEY CREEK,BLANEY CREEK,16,49.27150807540,-122.64655222300,Stream,100-025956-057184-074570-114339-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-06000-06400-0860-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47935,LFR,GStr,LFR+GStr
BOISE CREEK,BOISE CREEK,24,49.62422863490,-122.65995773800,Stream,100-025956-550352-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-57400-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47958,LFR,GStr,LFR+GStr
BORDEN CREEK,BORDEN CREEK,76,49.07724114010,-121.73204398400,Stream,100-064535-057628-358302-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-35700-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,487,LFR,GStr,LFR+GStr
BOUCHIER CREEK,BOUCHIER CREEK,46,49.20214139780,-122.25876377200,Stream,100-057528-861594-114727-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-84000-13000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48041,LFR,GStr,LFR+GStr
