CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Bella Coola-Dean Rivers,CO-22,CO,Current,13.49992576,2.140940607
Boundary Bay,CO-1,CO,VREQ[Current],2.9146384,0.074338741
Clayoquot,CO-18,CO,Current,15.32891112,0.321353228
Douglas Channel-Kitimat Arm,CO-29,CO,Current,6.536905245,0.464429411
East Vancouver Island-Georgia Strait,CO-13,CO,Current,30.62890147,1.234169977
East Vancouver Island-Johnstone Strait-Southern Fjords,CO-14,CO,Current,7.057039598,0.680529815
Fraser Canyon,CO-5,CO,Current,7.156079188,0.642484841
Georgia Strait Mainland,CO-11,CO,Current,31.78081356,1.232663549
HG-East,CO-23,CO,Current,25.27630734,0.307662691
Hecate Strait Mainland,CO-27,CO,Current,131.1267328,1.564808742
Homathko-Klinaklini Rivers,CO-19,CO,Current,9.776246807,1.511348299
Howe Sound-Burrard Inlet,CO-10,CO,Current,13.69186326,0.732399911
Interior Fraser,CO-48,CO,Current,59.29104325,20.95317541
Juan De Fuca-Pachena,CO-16,CO,Current,5.977684372,0.388291188
Lillooet,CO-4,CO,Current,7.914284849,0.774098918
Lower Fraser,CO-47,CO,Current,9.350222114,1.017027553
Lower Nass,CO-35,CO,Current,5.551336523,0.481713997
Lower Skeena,CO-32,CO,Current,12.65796215,1.941661316
Lower Stikine,CO-39,CO,Current,15.43699311,3.412755466
Lower Thompson,CO-7,CO,Current,13.40657714,2.248133464
Middle Skeena,CO-33,CO,Current,24.34276811,3.8948628
Mussel-Kynoch,CO-26,CO,Current,5.76753688,0.18708842
Nahwitti Lowland,CO-15,CO,Current,15.69498387,0.517453799
North Thompson,CO-9,CO,Current,16.18298563,2.700274651
Northern Coastal Streams,CO-30,CO,Current,29.51885253,2.019732605
Portland Sound-Observatory Inlet-Portland Canal,CO-37,CO,Current,21.78020064,0.937012839
Rivers Inlet,CO-21,CO,Current,12.09567341,0.778742889
Skeena Estuary,CO-31,CO,Current,26.32624294,0.213650165
Smith Inlet,CO-20,CO,Current,11.16557604,0.216486662
South Thompson,CO-8,CO,Current,14.48464897,2.23187339
Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,CO-12,CO,Current,74.20505543,1.987373466
Taku-Early Timing,CO-43,CO,Current,6.299851645,0.604170505
Taku-Late Timing,CO-41,CO,Current,4.56844307,0.338297134
Taku-Mid Timing,CO-42,CO,Current,12.55783975,1.346109905
Unuk River,CO-38,CO,Current,3.837345305,0.259843721
Upper Nass,CO-36,CO,Current,16.26813072,2.585600177
Upper Skeena,CO-34,CO,Current,15.81301369,1.838213583
West Vancouver Island,CO-17,CO,Current,40.02691574,1.033255619
Whiting River,CO-40,CO,Current,2.897387287,0.267128092
Porcupine,CO-46,CO,Current,20.14086511,12.66656984
HG-Graham Island Lowlands,CO-25,CO,Current,13.41041776,0.638678217
HG-West,CO-24,CO,Current,31.36019322,0.410888748
Alsek River,CO-45,CO,Current,8.388762569,1.116016173
Lynn Canal,CO-44,CO,Current,4.081117319,0.266130497
