CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Bella Coola-Dean Rivers,CO-22,CO,Current,13.49992575630,2.14094060737
Boundary Bay,CO-1,CO,VREQ[Current],2.91463839967,0.07433874079
Clayoquot,CO-18,CO,Current,15.32891112020,0.32135322772
Douglas Channel-Kitimat Arm,CO-29,CO,Current,6.53690524542,0.46442941119
East Vancouver Island-Georgia Strait,CO-13,CO,Current,30.62890147000,1.23416997733
East Vancouver Island-Johnstone Strait-Southern Fjords,CO-14,CO,Current,7.05703959762,0.68052981458
Fraser Canyon,CO-5,CO,Current,7.15607918784,0.64248484060
Georgia Strait Mainland,CO-11,CO,Current,31.78081356310,1.23266354890
HG-East,CO-23,CO,Current,25.27630734070,0.30766269149
Hecate Strait Mainland,CO-27,CO,Current,131.12673277400,1.56480874203
Homathko-Klinaklini Rivers,CO-19,CO,Current,9.77624680717,1.51134829931
Howe Sound-Burrard Inlet,CO-10,CO,Current,13.69186325720,0.73239991113
Interior Fraser,CO-48,CO,Current,59.29104324550,20.95317540980
Juan De Fuca-Pachena,CO-16,CO,Current,5.97768437164,0.38829118793
Lillooet,CO-4,CO,Current,7.91428484922,0.77409891815
Lower Fraser,CO-47,CO,Current,9.35022211428,1.01702755319
Lower Nass,CO-35,CO,Current,5.55133652269,0.48171399729
Lower Skeena,CO-32,CO,Current,12.65796214500,1.94166131629
Lower Stikine,CO-39,CO,Current,15.43699311310,3.41275546605
Lower Thompson,CO-7,CO,Current,13.40657713880,2.24813346406
Middle Skeena,CO-33,CO,Current,24.34276811480,3.89486279970
Mussel-Kynoch,CO-26,CO,Current,5.76753687983,0.18708841982
Nahwitti Lowland,CO-15,CO,Current,15.69498386960,0.51745379945
North Thompson,CO-9,CO,Current,16.18298562730,2.70027465114
Northern Coastal Streams,CO-30,CO,Current,29.51885252810,2.01973260477
Portland Sound-Observatory Inlet-Portland Canal,CO-37,CO,Current,21.78020063880,0.93701283941
Rivers Inlet,CO-21,CO,Current,12.09567341240,0.77874288942
Skeena Estuary,CO-31,CO,Current,26.32624293640,0.21365016452
Smith Inlet,CO-20,CO,Current,11.16557603810,0.21648666152
South Thompson,CO-8,CO,Current,14.48464896580,2.23187339017
Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,CO-12,CO,Current,74.20505543140,1.98737346593
Taku-Early Timing,CO-43,CO,Current,6.29985164539,0.60417050531
Taku-Late Timing,CO-41,CO,Current,4.56844307004,0.33829713421
Taku-Mid Timing,CO-42,CO,Current,12.55783974890,1.34610990481
Unuk River,CO-38,CO,Current,3.83734530543,0.25984372082
Upper Nass,CO-36,CO,Current,16.26813072310,2.58560017693
Upper Skeena,CO-34,CO,Current,15.81301369350,1.83821358291
West Vancouver Island,CO-17,CO,Current,40.02691574370,1.03325561912
Whiting River,CO-40,CO,Current,2.89738728722,0.26712809240
Porcupine,CO-46,CO,Current,20.14086510690,12.66656983780
HG-Graham Island Lowlands,CO-25,CO,Current,13.41041775720,0.63867821656
HG-West,CO-24,CO,Current,31.36019322320,0.41088874782
Alsek River,CO-45,CO,Current,8.38876256868,1.11601617273
Lynn Canal,CO-44,CO,Current,4.08111731937,0.26613049702
