SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
CO,Bella Coola-Dean Rivers,Current,CO-22,13.49992575630,2.14094060737
CO,Boundary Bay,VREQ[Current],CO-1,2.91463839967,0.07433874079
CO,Clayoquot,Current,CO-18,15.32891112020,0.32135322772
CO,Douglas Channel-Kitimat Arm,Current,CO-29,6.53690524542,0.46442941119
CO,East Vancouver Island-Georgia Strait,Current,CO-13,30.62890147000,1.23416997733
CO,East Vancouver Island-Johnstone Strait-Southern Fjords,Current,CO-14,7.05703959762,0.68052981458
CO,Fraser Canyon,Current,CO-5,7.15607918784,0.64248484060
CO,Georgia Strait Mainland,Current,CO-11,31.78081356310,1.23266354890
CO,HG-East,Current,CO-23,25.27630734070,0.30766269149
CO,Hecate Strait Mainland,Current,CO-27,131.12673277400,1.56480874203
CO,Homathko-Klinaklini Rivers,Current,CO-19,9.77624680717,1.51134829931
CO,Howe Sound-Burrard Inlet,Current,CO-10,13.69186325720,0.73239991113
CO,Interior Fraser,Current,CO-48,59.29104324550,20.95317540980
CO,Juan De Fuca-Pachena,Current,CO-16,5.97768437164,0.38829118793
CO,Lillooet,Current,CO-4,7.91428484922,0.77409891815
CO,Lower Fraser,Current,CO-47,9.35022211428,1.01702755319
CO,Lower Nass,Current,CO-35,5.55133652269,0.48171399729
CO,Lower Skeena,Current,CO-32,12.65796214500,1.94166131629
CO,Lower Stikine,Current,CO-39,15.43699311310,3.41275546605
CO,Lower Thompson,Current,CO-7,13.40657713880,2.24813346406
CO,Middle Skeena,Current,CO-33,24.34276811480,3.89486279970
CO,Mussel-Kynoch,Current,CO-26,5.76753687983,0.18708841982
CO,Nahwitti Lowland,Current,CO-15,15.69498386960,0.51745379945
CO,North Thompson,Current,CO-9,16.18298562730,2.70027465114
CO,Northern Coastal Streams,Current,CO-30,29.51885252810,2.01973260477
CO,Portland Sound-Observatory Inlet-Portland Canal,Current,CO-37,21.78020063890,0.93701283941
CO,Rivers Inlet,Current,CO-21,12.09567341240,0.77874288942
CO,Skeena Estuary,Current,CO-31,26.32624293640,0.21365016452
CO,Smith Inlet,Current,CO-20,11.16557603810,0.21648666152
CO,South Thompson,Current,CO-8,14.48464896580,2.23187339017
CO,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,Current,CO-12,74.20505543140,1.98737346593
CO,Taku-Early Timing,Current,CO-43,6.29985164538,0.60417050531
CO,Taku-Late Timing,Current,CO-41,4.56844307004,0.33829713421
CO,Taku-Mid Timing,Current,CO-42,12.55783974890,1.34610990481
CO,Unuk River,Current,CO-38,3.83734530543,0.25984372082
CO,Upper Nass,Current,CO-36,16.26813072310,2.58560017693
CO,Upper Skeena,Current,CO-34,15.81301369350,1.83821358291
CO,West Vancouver Island,Current,CO-17,40.02691574370,1.03325561912
CO,Whiting River,Current,CO-40,2.89738728722,0.26712809240
CO,Porcupine,Current,CO-46,20.14086510690,12.66656983780
CO,HG-Graham Island Lowlands,Current,CO-25,13.41041775720,0.63867821656
CO,HG-West,Current,CO-24,31.36019322320,0.41088874782
CO,Alsek River,Current,CO-45,8.38876256868,1.11601617273
CO,Lynn Canal,Current,CO-44,4.08111731937,0.26613049702
