NOM_SITE,NOM_GAZ,ID_CARAC_G,Y_LAT,X_LONG,TYPE_DE_CA,CDE_BA_20K,CDE_BA_50K,NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ID_POP,ACRO_ZAEA,ACRO_ZAM,ACRO_ZAJ
CAMPBELL RIVER,CAMPBELL RIVER,677,49.01265739320,-122.77798203900,Stream,900-000584-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-000500-00000-00000-0000-0000-000-000-000-000-000-000,BOUNDARY BAY,CO-1,CO,VREQ[Current],590,BB,GStr,BB+GStr
MURRAY CREEK,MURRAY CREEK,680,49.10048698070,-122.64382767700,Stream,900-004391-663129-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-004300-66600-00000-0000-0000-000-000-000-000-000-000,BOUNDARY BAY,CO-1,CO,VREQ[Current],1794,BB,GStr,BB+GStr
NICOMEKL RIVER,NICOMEKL RIVER,678,49.05821784780,-122.86973135100,Stream,900-004391-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-004300-00000-00000-0000-0000-000-000-000-000-000-000,BOUNDARY BAY,CO-1,CO,VREQ[Current],1844,BB,GStr,BB+GStr
SERPENTINE RIVER,SERPENTINE RIVER,681,49.08322704220,-122.85027103300,Stream,900-005473-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-005500-00000-00000-0000-0000-000-000-000-000-000-000,BOUNDARY BAY,CO-1,CO,VREQ[Current],2172,BB,GStr,BB+GStr
BIRKENHEAD RIVER,BIRKENHEAD RIVER,198,50.30637328730,-122.60583307600,Stream,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-425100-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46099,LILL,GStr,LILL+GStr
DOUGLAS CREEK,DOUGLAS CREEK,195,49.76274436040,-122.15264817600,Stream,100-077501-985523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-987400-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46084,LILL,GStr,LILL+GStr
GREEN RIVER,GREEN RIVER,201,50.30203008630,-122.72201879600,Stream,100-077501-955583-455209-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-467100-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46108,LILL,GStr,LILL+GStr
JOHNNY SANDY CREEK,JOHNNY SANDY CREEK,206,50.48384578760,-122.94294459800,Stream,100-077501-955583-596718-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-618300-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46133,LILL,GStr,LILL+GStr
LILLOOET RIVER - LOWER,LILLOOET RIVER,177,49.74746814850,-122.14582827100,Stream Segment,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-000000-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46964,LILL,GStr,LILL+GStr
LILLOOET RIVER - UPPER,LILLOOET RIVER,178,50.29977244770,-122.61721728400,Stream Segment,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-000000-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46026,LILL,GStr,LILL+GStr
MCKENZIE CREEK,MCKENZIE CREEK,205,50.37419734180,-122.84412977400,Stream,100-077501-955583-524958-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-541700-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46128,LILL,GStr,LILL+GStr
MILLER CREEK,MILLER CREEK,203,50.35653774150,-122.83244299000,Stream,100-077501-955583-514693-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-531200-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46118,LILL,GStr,LILL+GStr
PEMBERTON CREEK,PEMBERTON CREEK,202,50.31066763390,-122.78754321800,Stream,100-077501-955583-482223-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-487400-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46113,LILL,GStr,LILL+GStr
POOLE CREEK,POOLE CREEK,200,50.43539278550,-122.69269809100,Stream,100-077501-955583-415280-456434-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-425100-45300-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46103,LILL,GStr,LILL+GStr
RAILROAD CREEK,RAILROAD CREEK,209,50.53054987150,-123.05185439900,Stream,100-077501-955583-648786-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-676500-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46148,LILL,GStr,LILL+GStr
RYAN RIVER,RYAN RIVER,204,50.35844398330,-122.83479263200,Stream,100-077501-955583-515913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-532200-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46123,LILL,GStr,LILL+GStr
SALMON CREEK,,207,50.48734791670,-122.95197577400,Stream,100-077501-955583-600648-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-622900-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46139,LILL,GStr,LILL+GStr
SAMPSON CREEK,SAMPSON CREEK,210,50.53470143770,-123.11820576600,Stream,100-077501-955583-674779-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-706700-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46153,LILL,GStr,LILL+GStr
SAMPSON SLOUGH,,2542,50.52734967290,-123.04751877500,Slough,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-000000-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,44618,LILL,GStr,LILL+GStr
SLOQUET CREEK,SLOQUET CREEK,197,49.76784582160,-122.20503098800,Stream,100-077501-955583-030689-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-025200-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET,CO-4,CO,Current,46094,LILL,GStr,LILL+GStr
