CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Georgia Strait,PKE-1,PKE,Current,68.94073795170,3.17178243855
Hecate Lowlands,PKE-5,PKE,Current,133.95538607900,1.56011352128
Middle-Upper Skeena,PKE-8,PKE,Current,32.13100662260,5.73004379670
Nass-Skeena Estuary,PKE-7,PKE,Current,60.58968140390,3.64016035716
Northwest Vancouver Island,PKE-3,PKE,Current,15.00491616190,0.36482880446
Southern Fjords,PKE-4,PKE,Current,88.20912783710,4.35932807099
Transboundary Fjords,PKE-13,PKE,Current,26.74608114150,6.78150016032
West Vancouver Island,PKE-2,PKE,Current,55.00363450860,1.74290003478
Upper Nass,PKE-12,PKE,Current,16.26813072320,2.58560017693
Hecate Strait-Fjords,PKE-6,PKE,Current,51.65772202030,5.74599661381
Fraser River<<bin>>,PKE-9005,PKE,Bin,1.11914485162,0.04057881043
East Haida Gwaii,PKE-10,PKE,Current,28.40447682390,0.45306927626
North Haida Gwaii,PKE-9,PKE,Current,13.43041589980,0.49327183447
West Haida Gwaii,PKE-11,PKE,Current,31.36019322310,0.41088874782
