SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
PKE,Georgia Strait,Current,PKE-1,68.94073795170,3.17178243855
PKE,Hecate Lowlands,Current,PKE-5,133.95538607900,1.56011352128
PKE,Middle-Upper Skeena,Current,PKE-8,32.13100662260,5.73004379670
PKE,Nass-Skeena Estuary,Current,PKE-7,60.58968140390,3.64016035716
PKE,Northwest Vancouver Island,Current,PKE-3,15.00491616190,0.36482880446
PKE,Southern Fjords,Current,PKE-4,88.20912783710,4.35932807099
PKE,Transboundary Fjords,Current,PKE-13,26.74608114150,6.78150016032
PKE,West Vancouver Island,Current,PKE-2,55.00363450860,1.74290003478
PKE,Upper Nass,Current,PKE-12,16.26813072320,2.58560017693
PKE,Hecate Strait-Fjords,Current,PKE-6,51.65772202030,5.74599661381
PKE,Fraser River<<bin>>,Bin,PKE-9005,1.11914485162,0.04057881043
PKE,East Haida Gwaii,Current,PKE-10,28.40447682390,0.45306927626
PKE,North Haida Gwaii,Current,PKE-9,13.43041589980,0.49327183447
PKE,West Haida Gwaii,Current,PKE-11,31.36019322310,0.41088874782
