NOM_SITE,NOM_GAZ,ID_CARAC_G,Y_LAT,X_LONG,TYPE_DE_CA,CDE_BA_20K,CDE_BA_50K,NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ID_POP,ACRO_ZAEA,ACRO_ZAM,ACRO_ZAJ
BOB CREEK,,1169,49.49904190310,-124.79611083200,Stream,,,GEORGIA STRAIT,PKE-1,PKE,Current,51264,EVI,GStr,EVI+GStr
BREM RIVER,BREM RIVER,813,50.43562184730,-124.66634212900,Stream,900-358652-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-357900-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,50504,SC,GStr,SC+GStr
BREM RIVER TRIBUTARY,,814,50.44015225540,-124.66707762500,Stream,900-358652-020005-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-357900-01700-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,50514,SC,GStr,SC+GStr
BRITTAIN RIVER,BRITTAIN RIVER,784,49.99745037960,-124.00965709700,Stream,900-247763-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-244600-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,48918,SC,GStr,SC+GStr
BROOKLYN CREEK,BROOKLYN CREEK,1155,49.66895136650,-124.91427504500,Stream,920-565088-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-558600-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,53054,EVI,GStr,EVI+GStr
CAMPBELL RIVER,CAMPBELL RIVER,1141,50.04871847320,-125.25847143200,Stream,920-627155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-627900-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,52914,EVI,GStr,EVI+GStr
CAPILANO RIVER,CAPILANO RIVER,697,49.32156125950,-123.13972854000,Stream,900-083503-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-071100-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,49871,SC,GStr,SC+GStr
CARLSON CREEK,CARLSON CREEK,768,49.54193053400,-123.79966708800,Stream,900-165880-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-162600-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,48758,SC,GStr,SC+GStr
CASEY CREEK,CASEY CREEK,2819,50.06935926110,-125.29013240800,Stream,920-631984-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-633400-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,3329,EVI,GStr,EVI+GStr
CHAPMAN CREEK,CHAPMAN CREEK,760,49.43927779660,-123.72345296600,Stream,900-127577-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-120400-00000-00000-0000-0000-000-000-000-000-000-000,GEORGIA STRAIT,PKE-1,PKE,Current,48668,SC,GStr,SC+GStr
