CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,WSP_STATUS,CU_LAT,CU_LONG
Georgia Strait,PKE-1,PKE,Current,GREEN/AMBER,50.09353875920,-124.16225320400
Hecate Lowlands,PKE-5,PKE,Current,AMBER/RED,52.37985058050,-128.68140481500
Middle-Upper Skeena,PKE-8,PKE,Current,RED/AMBER,55.76000632970,-127.34140289000
Nass-Skeena Estuary,PKE-7,PKE,Current,AMBER/GREEN,54.68784230380,-129.21064931200
Northwest Vancouver Island,PKE-3,PKE,Current,DD,50.43765021580,-127.58113610800
Southern Fjords,PKE-4,PKE,Current,GREEN/RED,51.31076988250,-125.22316990500
Transboundary Fjords,PKE-13,PKE,Current,DD,58.09095350940,-132.38759256600
West Vancouver Island,PKE-2,PKE,Current,RED,49.43296827130,-125.56091804400
Upper Nass,PKE-12,PKE,Current,DD,56.50315348620,-129.14645512300
Hecate Strait-Fjords,PKE-6,PKE,Current,RED/AMBER/GREEN,52.95756522490,-127.31357668000
East Haida Gwaii,PKE-10,PKE,Current,AMBER/GREEN,53.13405597990,-131.92653482200
North Haida Gwaii,PKE-9,PKE,Current,AMBER/GREEN,53.88400000010,-132.46898177800
West Haida Gwaii,PKE-11,PKE,Current,AMBER/RED/GREEN,53.90317470990,-133.03087387100
