CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
Osoyoos,SEL-01-01,SEL,Current,1.64293483948,0.02330329654
Chilliwack-Early Summer Timing,SEL-03-01,SEL,Current,0.70506108503,0.00709978493
Cultus-Late Timing,SEL-03-02,SEL,Current,0.53895715482,0.01007648196
Harrison-Downstream Migrating-Late Timing,SEL-03-03,SEL,Current,3.48429875219,0.08007023182
Harrison-Upstream Migrating-Late Timing,SEL-03-04,SEL,Current,0.42994162770,0.00558804869
Pitt-Early Summer Timing,SEL-03-05,SEL,Current,2.74366011519,0.04508188772
Lillooet/Harrison-Late Timing,SEL-04-01,SEL,Current,5.04905058217,0.07272640020
Nahatlatch-Early Summer Timing,SEL-05-02,SEL,Current,1.60371647184,0.02887801935
Anderson/Seton-Early Summer Timing,SEL-06-01,SEL,Current,2.85466155281,0.03177623002
Chilko-Early Summer Timing,SEL-06-02,SEL,Current,1.28358112580,0.01753577029
Chilko-Summer Timing,SEL-06-03,SEL,Current,3.36758565803,0.07696141947
Francois/Fraser-Summer Timing,SEL-06-07,SEL,Current,6.37445968869,0.10748690932
Quesnel-Summer Timing,SEL-06-10,SEL,Current,10.27011903220,0.18844645092
Seton-Late Timing,SEL-06-11,SEL,Bin,1.33070403370,0.01252662895
Takla/Trembleur/Stuart-Summer Timing,SEL-06-13,SEL,Current,16.69119320220,0.45546321304
Takla/Trembleur-Early Stuart Timing,SEL-06-14,SEL,Current,12.63463056040,0.31018263448
Taseko-Early Summer Timing,SEL-06-16,SEL,Current,3.83277673866,0.05770886951
Nadina/Francois-Early Summer Timing,SEL-06-20,SEL,VREQ[Bin],7.38729952689,0.10348484897
Bowron-Early Summer Timing,SEL-07-01,SEL,Current,1.19750036098,0.01667431471
Shuswap Complex-Early Summer Timing,SEL-09-02,SEL,Current,17.29401600990,0.42036351699
Shuswap Complex-Late Timing,SEL-09-03,SEL,Current,17.29401600990,0.42036351699
(p)Adams and Momich Lakes-Early Summer Timing,SEL-09-xx,SEL,Bin,4.29927547291,0.10728577852
Kamloops-Early Summer Timing,SEL-10-01,SEL,Current,12.25226559810,0.16698239365
North Barriere-Early Summer Timing,SEL-10-03,SEL,Bin,1.73877727783,0.02406017323
Kakweiken,SEL-11-03,SEL,Current,0.67721489504,0.00658501382
Loose,SEL-11-04,SEL,Current,0.42279312351,0.00278397852
Phillips,SEL-11-06,SEL,Current,1.31570891682,0.01397834340
Tzoonie,SEL-11-09,SEL,Current,0.33456818457,0.00325563083
Nahwitti,SEL-12-02,SEL,Current,1.27218797261,0.00880348492
Nimpkish,SEL-12-03,SEL,Current,2.19185737181,0.03364494810
Vernon,SEL-12-09,SEL,Current,0.51772135825,0.00725796408
Alice,SEL-13-01,SEL,Current,1.13125986750,0.01020225151
Cecilia,SEL-13-03,SEL,Current,0.30737598091,0.00222368872
Deserted,SEL-13-06,SEL,Current,0.25722076964,0.00243603964
Fairy,SEL-13-07,SEL,Current,0.64421554936,0.00424724129
Jansen,SEL-13-12,SEL,Current,0.10645763216,0.00038148854
Kanim,SEL-13-13,SEL,Current,0.19812808160,0.00147436326
Kennedy,SEL-13-14,SEL,Current,1.23421076274,0.03241107688
Muchalat,SEL-13-17,SEL,Current,1.70700335153,0.01703865341
Muriel,SEL-13-18,SEL,Current,0.20505613440,0.00184703666
Nitinat,SEL-13-19,SEL,Current,1.02721461889,0.01288547156
Park River,SEL-13-22,SEL,Current,0.21735855500,0.00202116688
Sproat,SEL-13-25,SEL,Current,1.41620460844,0.02851935389
Owikeno,SEL-15-02,SEL,Current,5.35741624647,0.10545681529
Owikeno-Late Timing,SEL-15-03,SEL,VREQ[Bin],0.29969187837,0.00252426201
South Atnarko Lakes,SEL-16-01,SEL,Current,2.28636047109,0.04135461632
Fairfax,SEL-17-03,SEL,Current,0.16975071800,0.00117496199
Yakoun,SEL-17-09,SEL,Current,1.06343225830,0.01101815272
Canoona,SEL-18-02,SEL,Current,0.51426107726,0.00727584267
Evelyn,SEL-18-04,SEL,Current,0.19185127315,0.00154823597
Kimsquit,SEL-18-06,SEL,Current,0.27499417431,0.00349583478
Kitlope,SEL-18-08,SEL,Current,1.73994386529,0.02083934060
Pine River,SEL-18-09,SEL,Current,0.26222686157,0.00177029306
Bolton Creek,SEL-19-03,SEL,Current,0.41824346037,0.00180536839
Fannie Cove,SEL-19-10,SEL,Current,0.26869693008,0.00244043781
Curtis Inlet,SEL-19-11,SEL,Current,0.34252749063,0.00253995930
Devon,SEL-19-14,SEL,Current,0.26301411008,0.00234808680
Elsie/Hoy,SEL-19-17,SEL,Current,0.25691023493,0.00164746243
End Hill Creek,SEL-19-18,SEL,Current,0.42817383484,0.00346950528
Higgins Lagoon,SEL-19-23,SEL,Current,0.26290822225,0.00107392841
Kent Inlet Lagoon Creek,SEL-19-27,SEL,Current,0.34822249165,0.00259288475
Kildidt Lagoon Creek,SEL-19-31,SEL,Current,0.12241119108,0.00053349158
Koeye,SEL-19-33,SEL,Current,1.26943039580,0.01601018017
Kwakwa Creek,SEL-19-36,SEL,Current,0.59458008961,0.00370311615
Mary Cove Creek,SEL-19-40,SEL,Current,0.19967335098,0.00176603010
Port John,SEL-19-46,SEL,Current,0.22495965099,0.00198708859
Spencer Creek,SEL-19-57,SEL,Current,0.19161793330,0.00148483026
Talamoosa Creek,SEL-19-59,SEL,Current,0.21245612058,0.00160257103
Tuno Creek West,SEL-19-64,SEL,Current,0.19942781260,0.00061584312
Alastair,SEL-20-01,SEL,Current,1.22427708012,0.02269808453
Aldrich,SEL-20-02,SEL,Current,0.30144897271,0.00319403115
Dennis,SEL-20-03,SEL,Current,0.52865789186,0.00587812846
Ecstall/Lower,SEL-20-04,SEL,Current,0.54554470653,0.00768531338
Kitsumkalum,SEL-20-06,SEL,Current,3.71595791609,0.15731091004
Mcdonell,SEL-20-08,SEL,Current,0.88382278858,0.01059229322
Babine,SEL-21-02,SEL,Current,9.45342001570,0.44159696072
Tahlo/Morrison,SEL-21-11,SEL,Current,1.38656318002,0.02917041006
Azuklotz,SEL-22-02,SEL,Current,0.45731776016,0.00624343092
Damshilgwit,SEL-22-04,SEL,Current,0.71205191307,0.01083752013
Kluayaz,SEL-22-07,SEL,Current,0.87905371359,0.01841204927
Sicintine,SEL-22-09,SEL,Current,0.88460299478,0.01056285951
Slamgeesh,SEL-22-10,SEL,Current,0.28359870267,0.00225764274
Bowser,SEL-24-01,SEL,Current,2.65416604382,0.03178687900
Damdochax/Winimasik,SEL-24-02,SEL,Current,1.49857930975,0.01563867280
Fred Wright,SEL-24-03,SEL,Current,0.84499074949,0.01111025068
Kwinageese,SEL-24-04,SEL,Current,0.25106197287,0.00197997887
Meziadin,SEL-24-05,SEL,Current,1.76645859250,0.03089442145
Border,SEL-25-01,SEL,Current,0.24108450396,0.00196384642
Tahltan,SEL-26-02,SEL,Current,2.74487411279,0.03518128858
Chutine,SEL-26-03,SEL,Current,3.96317717157,0.06706761851
Whiting,SEL-27-01,SEL,Current,1.62245291445,0.02071294066
Little Trapper,SEL-28-02,SEL,Current,0.77462617712,0.00578434941
Tatsamenie,SEL-28-03,SEL,Current,2.22862125275,0.03989081920
Fulmore,SEL-11-01,SEL,Current,0.84439945473,0.01270658899
Heydon,SEL-11-02,SEL,Current,0.51908968396,0.00821750285
Mackenzie,SEL-11-05,SEL,Current,0.45084859460,0.00573929295
Sakinaw,SEL-11-07,SEL,Current,0.53611561511,0.00861112731
Village Bay,SEL-11-10,SEL,VREQ[Extirpated],0.59234894381,0.00900564668
Ida/Bonanza,SEL-12-01,SEL,Current,0.62335435510,0.01316894913
Quatse,SEL-12-05,SEL,Current,0.72990783002,0.00912074731
Schoen,SEL-12-06,SEL,Current,0.67075891703,0.01140407872
Shushartie,SEL-12-07,SEL,Current,0.82440684099,0.00954840653
Woss,SEL-12-08,SEL,Current,0.97997804486,0.02167325441
Canoe Creek,SEL-13-02,SEL,Current,0.33343780278,0.00176091112
Cheewat,SEL-13-04,SEL,Current,0.29197679844,0.00335509562
Clayoquot,SEL-13-05,SEL,Current,0.52753706606,0.00957235741
Great Central,SEL-13-08,SEL,Current,2.59860912043,0.05114845933
Henderson,SEL-13-09,SEL,Current,0.82420643744,0.01746844450
Hesquiat,SEL-13-10,SEL,Current,0.50095259696,0.00771460051
Hobiton,SEL-13-11,SEL,Current,0.50632253992,0.00514484289
Maggie,SEL-13-15,SEL,Current,0.32348733927,0.00383935745
Megin,SEL-13-16,SEL,Current,0.67734350313,0.00787375803
O'connell,SEL-13-20,SEL,Current,0.88623545072,0.01537044810
Power,SEL-13-23,SEL,Current,0.45229127972,0.00686755281
William/Brink,SEL-13-26,SEL,Current,0.71870626956,0.01009619958
Long,SEL-15-01,SEL,Current,1.26747654772,0.01823896479
Wannock[Owikeno],SEL-15-04,SEL,Current,0.31801178362,0.00446798031
Ain/Skundale/Ian,SEL-17-01,SEL,Current,1.26016870045,0.02680017202
Awun,SEL-17-02,SEL,Current,0.62930445623,0.00979035810
Jalun,SEL-17-04,SEL,Current,1.07668768876,0.01628485562
Mathers,SEL-17-06,SEL,Current,0.55211237847,0.01093525092
Mercer,SEL-17-07,SEL,Current,0.49532716593,0.00541934978
Skidegate,SEL-17-08,SEL,Current,1.01858504734,0.01973598016
Marie,SEL-17-10,SEL,Current,0.34689083606,0.00435163204
Kainet Creek,SEL-18-05,SEL,Current,0.36113013485,0.00514330488
Kitkiata,SEL-18-07,SEL,Current,0.51697784113,0.01027133564
Banks,SEL-19-01,SEL,Current,0.83338299839,0.01014087031
Bloomfield,SEL-19-02,SEL,Current,0.41832808899,0.00554559551
Bonilla,SEL-19-04,SEL,Current,0.39669595046,0.00396381149
Tuwartz,SEL-19-09,SEL,Current,0.37220061479,0.00441076426
Freeda/Brodie,SEL-19-20,SEL,Current,0.32253588558,0.00333776022
Kdelmashan Creek,SEL-19-25,SEL,Current,0.52855154233,0.00438338048
Keecha,SEL-19-26,SEL,Current,0.62109004960,0.00807630598
Kisameet,SEL-19-32,SEL,Current,0.49100798225,0.00485108530
Kooryet,SEL-19-34,SEL,Current,0.54904288186,0.00623775481
Limestone Creek,SEL-19-38,SEL,Current,0.41370454791,0.00327859757
Mikado,SEL-19-43,SEL,Current,0.42782479742,0.00325030025
Namu,SEL-19-45,SEL,Current,0.59692018519,0.00901717060
Powles Creek,SEL-19-47,SEL,Current,0.35595515880,0.00434590359
Prudhomme,SEL-19-49,SEL,Current,0.77357119060,0.01477785429
Ryan Creek,SEL-19-51,SEL,Current,0.43970765417,0.00339187635
Salter,SEL-19-52,SEL,Current,0.49541888751,0.00623063819
Scoular/Kilpatrick,SEL-19-53,SEL,Current,0.42765895963,0.00631733306
Shawatlan,SEL-19-54,SEL,Current,0.44098933829,0.00654169260
