SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
OKANAGAN RIVER,OKANAGAN RIVER,442,49.07597716670,-119.51778600700,Stream,300-432687-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,310-000000-00000-00000-0000-0000-000-000-000-000-000-000,OSOYOOS,SEL-01-01,SEL,Current,1864,OK,ORWA,OK+ORWA
CHILLIWACK LAKE,CHILLIWACK LAKE,2440,49.08279014580,-121.45594586800,Lake,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,CHILLIWACK-EARLY SUMMER TIMING,SEL-03-01,SEL,Current,45092,LFR,GStr,LFR+GStr
CHILLIWACK RIVER - UPPER,CHILLIWACK RIVER,63,49.01524167680,-121.40853743700,Stream Segment,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,CHILLIWACK-EARLY SUMMER TIMING,SEL-03-01,SEL,Current,46986,LFR,GStr,LFR+GStr
DEPOT CREEK,DEPOT CREEK,85,49.02961276720,-121.40212988000,Stream,100-064535-057628-724358-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-72300-0000-0000-000-000-000-000-000-000,CHILLIWACK-EARLY SUMMER TIMING,SEL-03-01,SEL,Current,7726,LFR,GStr,LFR+GStr
CULTUS LAKE,CULTUS LAKE,2441,49.07507039240,-121.98172342800,Lake,100-064535-057628-134797-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-13300-0000-0000-000-000-000-000-000-000,CULTUS-LATE TIMING,SEL-03-02,SEL,Current,45093,LFR,GStr,LFR+GStr
BIG SILVER CREEK,BIG SILVER CREEK,192,49.57910897250,-121.83664117900,Stream,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-599000-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46072,LFR,GStr,LFR+GStr
COGBURN CREEK,COGBURN CREEK,190,49.53357779030,-121.76844269000,Stream,100-077501-550992-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-535100-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46065,LFR,GStr,LFR+GStr
CRAZY CREEK,,2767,49.73901710380,-122.14902664800,Stream,100-077501-951307-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-950500-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,3091,LFR,GStr,LFR+GStr
DOUGLAS CREEK,DOUGLAS CREEK,195,49.76274436040,-122.15264817600,Stream,100-077501-985523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-987400-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46083,LILL,GStr,LILL+GStr
HARRISON LAKE,HARRISON LAKE,2435,49.32683265570,-121.78123184500,Lake,100-077501-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,45086,LFR,GStr,LFR+GStr
