CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,WSP_STATUS,CU_LAT,CU_LONG
Chilliwack-Early Summer Timing,SEL-03-01,SEL,Current,AMBER/GREEN,49.06399999970,-121.42198488900
Cultus-Late Timing,SEL-03-02,SEL,Current,RED,49.03499999990,-122.02198479700
Harrison-Downstream Migrating-Late Timing,SEL-03-03,SEL,Current,AMBER/GREEN,49.49614312390,-121.83341403700
Harrison-Upstream Migrating-Late Timing,SEL-03-04,SEL,Current,RED,49.35800000000,-121.88798473300
Pitt-Early Summer Timing,SEL-03-05,SEL,Current,GREEN,49.55100000020,-122.56898456800
Lillooet/Harrison-Late Timing,SEL-04-01,SEL,Current,AMBER,50.34699999990,-122.68298432500
Nahatlatch-Early Summer Timing,SEL-05-02,SEL,Current,AMBER,49.96000000000,-121.78998458300
Anderson/Seton-Early Summer Timing,SEL-06-01,SEL,Current,AMBER/GREEN,50.64900000020,-122.37798428600
Chilko-Early Summer Timing,SEL-06-02,SEL,Current,DD,51.12787159700,-124.02751085900
Chilko-Summer Timing,SEL-06-03,SEL,Current,GREEN,51.40100000050,-124.07798378100
Francois/Fraser-Summer Timing,SEL-06-07,SEL,Current,AMBER/GREEN,54.02092705680,-125.35148208000
Quesnel-Summer Timing,SEL-06-10,SEL,Current,RED/AMBER,52.53000000030,-120.81498396400
Seton-Late Timing,SEL-06-11,SEL,Bin,RED,50.68757897680,-122.12844265500
Takla/Trembleur/Stuart-Summer Timing,SEL-06-13,SEL,Current,RED/AMBER,55.20216029120,-125.76605186900
Takla/Trembleur-Early Stuart Timing,SEL-06-14,SEL,Current,RED,55.42400000000,-125.91198201500
Taseko-Early Summer Timing,SEL-06-16,SEL,Current,RED,51.31740141420,-123.64236538100
Nadina/Francois-Early Summer Timing,SEL-06-20,SEL,VREQ[Bin],AMBER/GREEN,54.02747869660,-125.66224282900
Bowron-Early Summer Timing,SEL-07-01,SEL,Current,RED,53.18238968690,-121.22390350200
Shuswap Complex-Early Summer Timing,SEL-09-02,SEL,Current,AMBER,50.93200000000,-119.10898477600
Shuswap Complex-Late Timing,SEL-09-03,SEL,Current,AMBER/GREEN,50.93755028030,-119.10051833100
Kamloops-Early Summer Timing,SEL-10-01,SEL,Current,AMBER,51.34200000040,-120.16898446000
North Barriere-Early Summer Timing,SEL-10-03,SEL,Bin,AMBER,51.30400036100,-119.93205856700
