CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area
East Haida Gwaii,PKO-9,PKO,Current,28.40447682390,0.45306927626
East Howe Sound-Burrard Inlet,PKO-2,PKO,Current,8.20811652829,0.34156097427
East Vancouver Island-Johnstone Strait,PKO-4,PKO,Current,6.93315891015,0.67960168215
Fraser River,PKO-1,PKO,Current,64.90629924060,26.87651623670
Georgia Strait,PKO-3,PKO,Current,62.92597053580,2.83022146427
Hecate Strait-Fjords,PKO-13,PKO,Current,35.44890421710,2.73873226088
Hecate Strait-Lowlands,PKO-12,PKO,Current,133.95538607900,1.56011352128
Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean,PKO-8,PKO,Current,50.17669501570,5.21386262658
Lower Skeena,PKO-15,PKO,Current,12.65796214390,1.94166131629
Middle & Upper Skeena,PKO-16,PKO,Current,32.13100662110,5.73004379669
Nahwitti,PKO-5,PKO,Current,19.51728117290,0.54367141104
Nass-Portland-Observatory,PKO-17,PKO,Current,23.42979849290,1.41872683670
Nass-Skeena Estuary,PKO-14,PKO,Current,33.71998580670,0.27977220418
North Haida Gwaii,PKO-10,PKO,Current,13.43041590000,0.49327183447
Southern Fjords,PKO-7,PKO,Current,42.86064494310,1.29428540414
Transboundary Fjords,PKO-19,PKO,Current,26.74608115380,6.78150016029
Upper Nass,PKO-18,PKO,Current,16.26813072390,2.58560017693
West Haida Gwaii,PKO-11,PKO,Current,31.36019322330,0.41088874782
West Vancouver Island,PKO-6,PKO,Current,55.00363450890,1.74290003478
