SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
ADAMS RIVER,ADAMS RIVER,220,50.89438551760,-119.55413595000,Stream,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46242,STh,GStr,STh+GStr
ALOUETTE RIVER,ALOUETTE RIVER,14,49.26454304180,-122.70883654900,Stream,100-025956-057184-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47924,LFR,GStr,LFR+GStr
AMERICAN CREEK,AMERICAN CREEK,118,49.43293747970,-121.43624922400,Stream,100-117583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-119000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47141,FRCany,GStr,FRCany+GStr
ANDERSON RIVER,ANDERSON RIVER,124,49.84180665180,-121.43516524100,Stream,100-156509-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-158000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47154,FRCany,GStr,FRCany+GStr
BIG SILVER CREEK,BIG SILVER CREEK,192,49.57910897250,-121.83664117900,Stream,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-599000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46074,LFR,GStr,LFR+GStr
BIRKENHEAD RIVER,BIRKENHEAD RIVER,198,50.30637328730,-122.60583307600,Stream,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-425100-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46100,LILL,GStr,LILL+GStr
BONAPARTE RIVER,BONAPARTE RIVER,216,50.73921385690,-121.25884604300,Stream,100-190442-506118-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-506800-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46202,LTh,GStr,LTh+GStr
BORDEN CREEK,BORDEN CREEK,76,49.07724114010,-121.73204398400,Stream,100-064535-057628-358302-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-35700-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47032,LFR,GStr,LFR+GStr
BRIDGE RIVER,BRIDGE RIVER,133,50.74950978300,-121.93154067900,Stream,100-239855-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-241900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47225,MFR,GStr,MFR+GStr
CAYOOSH CREEK,CAYOOSH CREEK,131,50.66872680360,-121.97260988800,Stream,100-233886-073722-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-05000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47205,MFR,GStr,MFR+GStr
CENTRE CREEK,CENTRE CREEK,82,49.10318455670,-121.53658482400,Stream,100-064535-057628-563041-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-56200-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47054,LFR,GStr,LFR+GStr
CHEHALIS RIVER,CHEHALIS RIVER,181,49.26989417320,-121.93608898200,Stream,100-077501-094860-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46040,LFR,GStr,LFR+GStr
CHILCOTIN RIVER - LOWER,CHILCOTIN RIVER,2463,51.73995282300,-122.40130928800,Stream Segment,100-342455-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44496,MFR,GStr,MFR+GStr
CHILLIWACK CREEK,CHILLIWACK CREEK,89,49.16557057910,-122.01404425000,Stream,100-070889-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-071800-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47074,LFR,GStr,LFR+GStr
CHILLIWACK RIVER,CHILLIWACK RIVER,62,49.12641334960,-122.09835350000,Stream,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46983,LFR,GStr,LFR+GStr
CHILLIWACK RIVER - UPPER,CHILLIWACK RIVER,63,49.01524167680,-121.40853743700,Stream Segment,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46988,LFR,GStr,LFR+GStr
CHIPMUNK CREEK,CHIPMUNK CREEK,2577,49.10594893730,-121.64595367300,Stream,100-064535-057628-451511-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-45000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44656,LFR,GStr,LFR+GStr
CHURN CREEK,CHURN CREEK,138,51.51880746580,-122.28280284100,Stream,100-321833-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-324200-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47237,MFR,GStr,MFR+GStr
