CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,WSP_STATUS,CU_LAT,CU_LONG
East Haida Gwaii,PKO-9,PKO,Current,GREEN/RED,53.12664653370,-131.94998269100
East Howe Sound-Burrard Inlet,PKO-2,PKO,Current,DD,49.68045144710,-122.98762472300
East Vancouver Island-Johnstone Strait,PKO-4,PKO,Current,GREEN/AMBER,50.23173106190,-126.23087880300
Fraser River,PKO-1,PKO,Current,GREEN/AMBER,52.15899005600,-122.77974872600
Georgia Strait,PKO-3,PKO,Current,GREEN,50.02849714920,-124.18236192900
Hecate Strait-Fjords,PKO-13,PKO,Current,GREEN,53.00460417590,-127.86850841100
Hecate Strait-Lowlands,PKO-12,PKO,Current,GREEN,53.06877301340,-128.97019057200
Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean,PKO-8,PKO,Current,GREEN/AMBER,51.93421010040,-125.93608749100
Lower Skeena,PKO-15,PKO,Current,AMBER/GREEN,54.61399999970,-129.14098188800
Middle & Upper Skeena,PKO-16,PKO,Current,GREEN/AMBER,55.74273534990,-127.28796380700
Nahwitti,PKO-5,PKO,Current,GREEN/AMBER,50.54390259750,-127.76755830300
Nass-Portland-Observatory,PKO-17,PKO,Current,GREEN/AMBER,54.88008619200,-129.68326951900
Nass-Skeena Estuary,PKO-14,PKO,Current,GREEN/AMBER,54.21794414670,-130.20116891200
North Haida Gwaii,PKO-10,PKO,Current,DD,53.83923330930,-132.44578389800
Southern Fjords,PKO-7,PKO,Current,GREEN/AMBER,50.71396160530,-125.08321387800
Transboundary Fjords,PKO-19,PKO,Current,DD,57.89599900040,-132.16547645200
Upper Nass,PKO-18,PKO,Current,DD,56.40065173660,-129.08437931700
West Haida Gwaii,PKO-11,PKO,Current,DD,53.92518780660,-133.02553158800
West Vancouver Island,PKO-6,PKO,Current,DD,49.54267133320,-126.13377877600
