NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ÉTAT_PSS,LAT_UC,LONG_UC
East Haida Gwaii,PKO-9,PKO,Current,GREEN/RED,53.12664653,-131.9499827
East Howe Sound-Burrard Inlet,PKO-2,PKO,Current,DD,49.68045145,-122.9876247
East Vancouver Island-Johnstone Strait,PKO-4,PKO,Current,GREEN/AMBER,50.23173106,-126.2308788
Fraser River,PKO-1,PKO,Current,GREEN/AMBER,52.15899006,-122.7797487
Georgia Strait,PKO-3,PKO,Current,GREEN,50.02849715,-124.1823619
Hecate Strait-Fjords,PKO-13,PKO,Current,GREEN,53.00460418,-127.8685084
Hecate Strait-Lowlands,PKO-12,PKO,Current,GREEN,53.06877301,-128.9701906
Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean,PKO-8,PKO,Current,GREEN/AMBER,51.9342101,-125.9360875
Lower Skeena,PKO-15,PKO,Current,AMBER/GREEN,54.614,-129.1409819
Middle & Upper Skeena,PKO-16,PKO,Current,GREEN/AMBER,55.74273535,-127.2879638
Nahwitti,PKO-5,PKO,Current,GREEN/AMBER,50.5439026,-127.7675583
Nass-Portland-Observatory,PKO-17,PKO,Current,GREEN/AMBER,54.88008619,-129.6832695
Nass-Skeena Estuary,PKO-14,PKO,Current,GREEN/AMBER,54.21794415,-130.2011689
North Haida Gwaii,PKO-10,PKO,Current,DD,53.83923331,-132.4457839
Southern Fjords,PKO-7,PKO,Current,GREEN/AMBER,50.71396161,-125.0832139
Transboundary Fjords,PKO-19,PKO,Current,DD,57.895999,-132.1654765
Upper Nass,PKO-18,PKO,Current,DD,56.40065174,-129.0843793
West Haida Gwaii,PKO-11,PKO,Current,DD,53.92518781,-133.0255316
West Vancouver Island,PKO-6,PKO,Current,DD,49.54267133,-126.1337788
