NOM_SITE,NOM_GAZ,ID_CARAC_G,Y_LAT,X_LONG,TYPE_DE_CA,CDE_BA_20K,CDE_BA_50K,NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ID_POP,ACRO_ZAEA,ACRO_ZAM,ACRO_ZAJ
WIDGEON CREEK,WIDGEON CREEK,21,49.35501764290,-122.63229589400,Stream,100-025956-183905-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-19300-00000-0000-0000-000-000-000-000-000-000,WIDGEON,SER-02,SER,Current,7763,LFR,GStr,LFR+GStr
WIDGEON SLOUGH,,54281,49.33190819440,-122.66139160700,Slough Segment,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,WIDGEON,SER-02,SER,Current,47954,LFR,GStr,LFR+GStr
HARRISON RIVER,HARRISON RIVER,179,49.22891514400,-121.94660097800,Stream,100-077501-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON RIVER,SER-03,SER,Current,46030,LFR,GStr,LFR+GStr
ADAM RIVER,ADAM RIVER,1119,50.46587609740,-126.27748803400,Stream,920-757566-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,52690,EVI,SFj,EVI+SFj
AMOR DE COSMOS CREEK,AMOR DE COSMOS CREEK,1123,50.35706232710,-125.68533631100,Stream,920-698537-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-700700-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,52730,EVI,SFj,EVI+SFj
ASHLU CREEK,ASHLU CREEK,728,49.89703213840,-123.30242361500,Stream,900-105574-372968-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-097600-38300-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,50030,SC,GStr,SC+GStr
BLACK CREEK,BLACK CREEK,1151,49.85342634720,-125.10024783600,Stream,920-599397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-595100-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,53010,EVI,GStr,EVI+GStr
CAMPBELL RIVER,CAMPBELL RIVER,1141,50.04871847320,-125.25847143200,Stream,920-627155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-627900-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,52910,EVI,GStr,EVI+GStr
CAPILANO RIVER,CAPILANO RIVER,697,49.32156125950,-123.13972854000,Stream,900-083503-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-071100-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,49869,SC,GStr,SC+GStr
CHAPMAN CREEK,CHAPMAN CREEK,760,49.43927779660,-123.72345296600,Stream,900-127577-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-120400-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SER-08,SER,Current,48664,SC,GStr,SC+GStr
