Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Acadian Flycatcher,,Endangered,25/04/10,Empidonax virescens,Acadian Flycatcher,,Endangered,Schedule 1,05/06/03,Ontario,Birds,,
Acadian Redfish,Atlantic population,Threatened,25/04/10,Sebastes fasciatus,Acadian Redfish,Atlantic population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Acadian Redfish,Bonne Bay population,Special Concern,25/04/10,Sebastes fasciatus,Acadian Redfish,Bonne Bay population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Acuteleaf Small Limestone Moss,,Endangered,27/04/18,Seligeria acutifolia,Acuteleaf Small Limestone Moss,,Endangered,Schedule 1,23/04/21,British Columbia,Mosses,,Add
Alaskan Brook Lamprey,,Data Deficient,29/04/06,Lethenteron alaskense,Alaskan Brook Lamprey,,No Status,No schedule,,Northwest Territories,Fishes (freshwater),,
Alkaline Wing-nerved Moss,,Threatened,01/11/04,Pterygoneurum kozlovii,Alkaline Wing-nerved Moss,,Threatened,Schedule 1,15/08/06,"British Columbia, Saskatchewan",Mosses,,Add
Allegheny Mountain Dusky Salamander,,Non-active,22/04/07,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,,No Status,No schedule,05/06/03,Quebec,Amphibians,,Struck
Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,27/04/18,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,Schedule 1,05/06/03,Quebec,Amphibians,,Uplist
Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,27/04/18,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,Schedule 1,05/06/03,Ontario,Amphibians,,Uplist
American Badger,,Non-active,01/05/00,Taxidea taxus,American Badger,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Mammals (terrestrial),,
American Badger jacksoni subspecies,,Endangered,25/11/12,Taxidea taxus  jacksoni,American Badger jacksoni subspecies,,Endangered,Schedule 1,05/06/03,Ontario,Mammals (terrestrial),,
American Badger jeffersonii subspecies,,Non-active,25/11/12,Taxidea taxus  jeffersonii,American Badger jeffersonii subspecies,,No Status,No schedule,05/06/03,British Columbia,Mammals (terrestrial),,Struck
American Badger jeffersonii subspecies,Eastern population,Endangered,25/11/12,Taxidea taxus  jeffersonii,American Badger jeffersonii subspecies,Eastern population,Endangered,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,
American Badger jeffersonii subspecies,Western population,Endangered,25/11/12,Taxidea taxus  jeffersonii,American Badger jeffersonii subspecies,Western population,Endangered,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,
American Badger taxus subspecies,,Special Concern,25/11/12,Taxidea taxus  taxus,American Badger taxus subspecies,,Special Concern,Schedule 1,02/02/18,"Alberta, Saskatchewan, Manitoba, Ontario",Mammals (terrestrial),,Add
American Black Bear,,Not at Risk,01/04/99,Ursus americanus,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (terrestrial),,
American Bumble Bee,,Special Concern,01/11/18,Bombus pensylvanicus,American Bumble Bee,,No Status,No schedule,,"Ontario, Quebec",Arthropods,Addition,Pending
American Burying Beetle,,Extirpated,25/11/11,Nicrophorus americanus,American Burying Beetle,,Extirpated,Schedule 1,02/06/17,"Ontario, Quebec",Arthropods,,Add
American Chestnut,,Endangered,01/11/04,Castanea dentata,American Chestnut,,Endangered,Schedule 1,15/08/06,Ontario,Vascular Plants,,Add
American Columbo,,Endangered,29/04/06,Frasera caroliniensis,American Columbo,,Endangered,Schedule 1,13/12/07,Ontario,Vascular Plants,,Add
American Coot,,Not at Risk,01/04/91,Fulica americana,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
American Eel,,Threatened,04/05/12,Anguilla rostrata,American Eel,,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending
American Ginseng,,Endangered,01/05/00,Panax quinquefolius,American Ginseng,,Endangered,Schedule 1,05/06/03,"Ontario, Quebec",Vascular Plants,,Add
American Hart's-tongue Fern,,Special Concern,27/11/16,Asplenium scolopendrium  var. americanum,American Hart's-tongue Fern,,Special Concern,Schedule 1,05/06/03,Ontario,Vascular Plants,,
American Marten,Newfoundland population,Threatened,22/04/07,Martes americana  atrata,American Marten,Newfoundland population,Threatened,Schedule 1,05/06/03,Newfoundland and Labrador,Mammals (terrestrial),,Downlist
American Plaice,Arctic population,Data Deficient,26/04/09,Hippoglossoides platessoides,American Plaice,Arctic population,No Status,No schedule,,Arctic Ocean,Fishes (marine),,
American Plaice,Maritimes population,Threatened,26/04/09,Hippoglossoides platessoides,American Plaice,Maritime population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
American Plaice,Newfoundland and Labrador population,Threatened,26/04/09,Hippoglossoides platessoides,American Plaice,Newfoundland and Labrador population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
American Water-willow,,Threatened,05/05/21,Justicia americana,American Water-willow,,Threatened,Schedule 1,05/06/03,"Ontario, Quebec",Vascular Plants,,Add
American White Pelican,,Not at Risk,01/04/87,Pelecanus erythrorhynchos,,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Birds,,
Ancient Murrelet,,Special Concern,28/11/14,Synthliboramphus antiquus,Ancient Murrelet,,Special Concern,Schedule 1,15/08/06,"British Columbia, Pacific Ocean",Birds,,Add
Anticosti Aster,,Special Concern,28/04/17,Symphyotrichum anticostense,Anticosti Aster,,Special Concern,Schedule 1,05/06/03,"Quebec, New Brunswick",Vascular Plants,,Downlist
Arctic Grey Wolf,,Data Deficient,01/04/99,Canis lupus  arctos,Arctic Grey Wolf,,No Status,No schedule,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Athabasca Thrift,,Special Concern,27/04/18,Armeria maritima  ssp. interior,Athabasca Thrift,,Special Concern,Schedule 1,12/01/05,Saskatchewan,Vascular Plants,,Add
Atlantic Bluefin Tuna,,Endangered,06/05/11,Thunnus thynnus,Atlantic Bluefin Tuna,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Not to list
Atlantic Cod,,Non-active,01/05/03,Gadus morhua,Atlantic Cod,,Special Concern,,,Atlantic Ocean,Fishes (marine),,
